Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Media
10790430718,"Feb 18, 2024, 10:11:12 PM",Afternoon Run,Run,,534,1.75,,,false,,,activities/10790430718.gpx,,,534.0,534.0,1752.6300048828125,7.385998725891113,3.282078742980957,3.6034722328186035,16.8034725189209,1612.0999755859375,1629.4000244140625,2.483452796936035,-0.7531538009643555,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,1730.800048828125,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.282078742980957,0.0,,,,1364.0,,,,,,,,""
10796100865,"Feb 19, 2024, 8:20:53 PM",Afternoon Run,Run,,1181,3.50,,,false,,,activities/10796100865.gpx,,,1181.0,1181.0,3504.010009765625,6.3280029296875,2.9669857025146484,11.724444389343262,19.824443817138672,1608.5999755859375,1629.4000244140625,5.4520649909973145,-0.23116372525691986,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3504.699951171875,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.9669857025146484,442.70001220703125,,,,3010.0,,,,,,,,""
10821874440,"Feb 23, 2024, 6:26:51 PM",Lunch Run,Run,"",1182,3.31,,,false,,,activities/10821874440.gpx,,,1182.0,1179.0,3310.35009765625,3.7640013694763184,2.8077609539031982,13.522380828857422,16.02239990234375,1608.5999755859375,1625.800048828125,6.084975719451904,-0.07552071660757065,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,3324.89990234375,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.8006346225738525,519.7999877929688,,,,3116.0,,,,,,,,""
10842702052,"Feb 26, 2024, 7:18:10 PM",Lunch Run,Run,,1652,4.83,,,false,,,activities/10842702052.gpx,,,1652.0,1652.0,4834.2998046875,4.733984470367432,2.9263315200805664,20.59649085998535,26.296491622924805,1605.0999755859375,1629.4000244140625,6.694451332092285,-0.11790745705366135,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4849.2998046875,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.9263315200805664,0.0,,,,4230.0,,,,,,,,""
10862944105,"Feb 29, 2024, 6:17:42 PM",Lunch Run,Run,,1071,3.23,,,false,,,activities/10862944105.gpx,,,1071.0,1071.0,3233.830078125,4.203991889953613,3.019449234008789,11.40294075012207,17.03125,1608.5999755859375,1626.0,5.576203346252441,-0.16389234364032745,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3239.800048828125,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.019449234008789,430.1000061035156,,,,2770.0,,,,,,,,""
10891303004,"Mar 4, 2024, 9:44:32 PM",Afternoon Run,Run,,2327,6.40,,,false,,,activities/10891303004.fit,,,2327.0,2324.0,6407.419921875,5.033984184265137,2.7570652961730957,83.914794921875,83.67269134521484,1737.699951171875,1780.699951171875,13.464973449707031,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,6573.7998046875,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.7535109519958496,265.20001220703125,,,,,,,,,,,,""
10938133614,"Mar 11, 2024, 6:18:28 PM",Lunch Run,Run,,1380,2.87,,,false,,,activities/10938133614.gpx,,,1380.0,927.0,2877.010009765625,3.960009813308716,3.1035706996917725,12.001764297485352,20.45294189453125,1608.800048828125,1629.4000244140625,27.789030075073242,-0.2676389813423157,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,2890.300048828125,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.084789752960205,320.79998779296875,,,,2374.0,,,,,,,,""
10994695872,"Mar 19, 2024, 5:58:25 PM",Lunch Run,Run,,627,1.94,,,false,,,activities/10994695872.gpx,,,627.0,627.0,1940.81005859375,4.004004001617432,3.095390796661377,11.341111183166504,10.943464279174805,1628.199951171875,1639.800048828125,7.936501502990723,-0.0360674150288105,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,1950.5999755859375,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.095390796661377,351.29998779296875,,,,1598.0,,,,,,,,""
11017203672,"Mar 22, 2024, 9:50:10 PM",Afternoon Run,Run,"",1164,3.29,,,false,,,activities/11017203672.gpx,,,1164.0,1160.0,3292.219970703125,4.012011528015137,2.838120698928833,8.44444465637207,8.397602081298828,1700.5999755859375,1709.0999755859375,5.687177658081055,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,3302.199951171875,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.8283677101135254,1375.800048828125,,,,,,,,,,,,""
11024027628,"Mar 23, 2024, 4:29:36 PM",Morning Ride,Ride,,18078,38.77,,,false,,,activities/11024027628.fit,,,18078.0,7487.0,38770.828125,12.822265625,5.178419589996338,374.2577209472656,374.2929382324219,1670.199951171875,1811.0999755859375,16.503602981567383,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.144641399383545,2833.199951171875,,,,,,,,,,,,""
